month,classification,total_net,realized_trades
2023-12-01,Greed,1656.897579,171
2024-01-01,Neutral,-9428.445034,146
2024-01-01,Greed,-5118.676857,856
2024-01-01,Extreme Greed,-1119.007555,37
2024-02-01,Greed,25768.205391,1124
2024-02-01,Extreme Greed,23226.14921,492
2024-03-01,Greed,7690.579921,75
2024-03-01,Extreme Greed,117057.246375,1273
2024-04-01,Greed,-12941.808449000002,332
2024-04-01,Extreme Greed,20230.098008,289
2024-05-01,Neutral,5448.846879,28
2024-05-01,Greed,14931.696943,263
2024-05-01,Extreme Greed,8314.86256,190
2024-06-01,Fear,10914.735033,35
2024-06-01,Neutral,4816.359984,29
2024-06-01,Greed,77264.7201,378
2024-06-01,Extreme Greed,8972.036682,297
2024-07-01,Fear,18700.707559,105
2024-07-01,Neutral,8480.406093,45
2024-07-01,Greed,110059.22423,1130
2024-08-01,Extreme Fear,226.292879,29
2024-08-01,Fear,-126809.543854,232
2024-08-01,Neutral,18087.361717,65
2024-08-01,Greed,968.9498259999999,19
2024-09-01,Extreme Fear,-1106.276507,38
2024-09-01,Fear,947.055785,15
2024-09-01,Neutral,45452.726185,169
2024-09-01,Greed,2669.577923,5
2024-10-01,Fear,8833.3048,21
2024-10-01,Neutral,13721.109734,77
2024-10-01,Greed,19131.892549,127
2024-10-01,Extreme Greed,937.977877,45
2024-11-01,Greed,6118.678834,37
2024-11-01,Extreme Greed,123911.285474,3010
2024-12-01,Greed,987042.254524,5890
2024-12-01,Extreme Greed,2010355.655952,10197
2025-01-01,Neutral,-11297.952374,488
2025-01-01,Greed,379944.62025599997,3900
2025-01-01,Extreme Greed,389619.143538,5023
2025-02-01,Extreme Fear,250761.746934,1679
2025-02-01,Fear,652029.293298,5240
2025-02-01,Neutral,750855.259738,10064
2025-02-01,Greed,728371.758885,2736
2025-03-01,Extreme Fear,369632.200463,4712
2025-03-01,Fear,1505815.188306,12611
2025-03-01,Neutral,255691.174522,3798
2025-04-01,Extreme Fear,107366.043412,3948
2025-04-01,Fear,1239725.484875,11549
2025-04-01,Neutral,136325.323575,2576
2025-04-01,Greed,-223106.985726,8133
2025-05-01,Neutral,52505.81558,674
