classification,Account,realized_trades,total_net,total_pnl,win_rate
Extreme Fear,0xbaaaf6571ab7d571043ff1e313a9609a10637864,1700,260504.231943,261917.977792,1.0
Extreme Fear,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,187,198848.408303,198900.56161,0.49732620320855614
Extreme Fear,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,311,165527.831189,166696.399486,0.9807073954983923
Extreme Fear,0x083384f897ee0f19899168e3b1bec365f52a9012,37,124697.346296,124769.221441,1.0
Extreme Fear,0x4f93fead39b70a1824f981a54d4e55b278e9f760,159,72754.546576,74346.546606,1.0
Fear,0x083384f897ee0f19899168e3b1bec365f52a9012,1051,1111838.8732430001,1113373.547515,0.89058039961941
Fear,0xbaaaf6571ab7d571043ff1e313a9609a10637864,6283,617545.078387,620872.375844,0.9863122712080217
Fear,0x513b8629fe877bb581bf244e326a047b249c4ff1,2576,347824.700492,367166.216924,0.860248447204969
Fear,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,599,295148.333444,296781.722858,0.9532554257095158
Fear,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,700,235594.40106,236797.727737,0.8414285714285714
Neutral,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1535,399848.473829,401309.434693,0.8514657980456026
Neutral,0x513b8629fe877bb581bf244e326a047b249c4ff1,1443,372645.72661,381330.49405,0.9667359667359667
Neutral,0x083384f897ee0f19899168e3b1bec365f52a9012,245,124964.455507,125650.11674,1.0
Neutral,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,506,96732.792549,97380.090931,1.0
Neutral,0x420ab45e0bd8863569a5efbb9c05d91f40624641,25,74279.955921,74293.663505,1.0
Greed,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2464,530030.936207,534058.23633,0.6530032467532467
Greed,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,269,453211.178075,453595.31817600003,0.6988847583643123
Greed,0x083384f897ee0f19899168e3b1bec365f52a9012,153,276009.037755,276719.270187,0.6013071895424836
Greed,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,4424,241586.315588,243399.51314,0.7707956600361664
Greed,0x430f09841d65beb3f27765503d0f850b8bce7713,492,227617.545214,227680.491734,1.0
Extreme Greed,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,893,1104593.131794,1105304.859175,0.9384098544232923
Extreme Greed,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,4520,477482.967418,478811.468185,0.8869469026548673
Extreme Greed,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3434,210223.628473,210726.855269,0.953407105416424
Extreme Greed,0x430f09841d65beb3f27765503d0f850b8bce7713,15,124241.448912,124284.948775,1.0
Extreme Greed,0x4f93fead39b70a1824f981a54d4e55b278e9f760,890,122353.454374,129217.68646,0.9168539325842696
