classification,Coin,realized_trades,total_net,total_pnl,win_rate
Extreme Fear,HYPE,4761,479440.903584,482083.808909,0.8567527830287754
Extreme Fear,ETH,784,273790.378395,274320.23069,0.9897959183673469
Extreme Fear,SOL,863,102213.354884,105179.504312,0.6790266512166859
Extreme Fear,MELANIA,350,97282.43058,97379.167198,1.0
Extreme Fear,SUI,161,44508.186485,44788.991651,0.9440993788819876
Fear,HYPE,13537,834094.758706,840306.353176,0.8968013592376449
Fear,SOL,2061,736275.747705,741594.285928,0.9500242600679282
Fear,ETH,1428,672134.625615,675064.576785,0.8319327731092437
Fear,BTC,4342,452815.588625,482649.644056,0.8763242745278673
Fear,MELANIA,595,196720.966775,196849.124287,0.9949579831932773
Neutral,SOL,810,300775.978183,303376.19465,0.9012345679012346
Neutral,HYPE,8538,296777.635627,300100.241102,0.8380182712579058
Neutral,@107,1932,218549.748599,219551.950858,0.8737060041407867
Neutral,BTC,1812,154286.582452,165980.345627,0.8625827814569537
Neutral,DOGE,16,115758.531441,115809.466287,1.0
Greed,@107,5038,722801.746737,724342.30586,0.7649861055974593
Greed,SOL,507,449525.406213,451690.01397699997,0.8974358974358975
Greed,ETH,1557,346694.868779,351036.01291399996,0.5953757225433526
Greed,HYPE,2770,165131.195,166307.640065,0.907942238267148
Greed,ZRO,720,143744.761126,143815.507053,0.5319444444444444
Extreme Greed,@107,6341,1986971.982859,1988618.873872,0.921463491562845
Extreme Greed,HYPE,2405,158842.865897,159686.556509,0.9700623700623701
Extreme Greed,BTC,979,94422.157421,100882.711093,0.8457609805924413
Extreme Greed,PURR/USDC,713,77401.912789,77506.588413,0.9775596072931276
Extreme Greed,SOL,789,37054.993212,37715.928639,0.6210392902408112
